City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Tambacounda,SN,2022-04-28 00:06:16,13.7539,-13.7586,90.34,18,6,6.98
241,Hithadhoo,MV,2022-04-28 00:04:26,-0.6,73.0833,83.12,75,100,7.05
242,Coquimbo,CL,2022-04-28 00:05:04,-29.9533,-71.3436,60.89,75,2,3.58
243,Conneaut,US,2022-04-28 00:06:17,41.9476,-80.5542,35.11,71,100,17.16
244,Noyabrsk,RU,2022-04-28 00:06:17,63.1994,75.4507,34.5,100,100,8.46
245,Arraial Do Cabo,BR,2022-04-28 00:04:17,-22.9661,-42.0278,76.66,86,2,21.07
246,Isangel,VU,2022-04-28 00:06:18,-19.55,169.2667,79.88,71,100,16.24
247,Saint George,US,2022-04-28 00:02:38,37.1041,-113.5841,86.63,9,0,12.66
248,Havre-Saint-Pierre,CA,2022-04-28 00:06:18,50.2334,-63.5986,38.93,95,100,8.88
249,Meadow Lake,US,2022-04-28 00:06:18,34.8014,-106.5436,85.6,6,16,24.61
250,Rapina,EE,2022-04-28 00:06:19,58.0981,27.4636,29.43,55,14,4.63
251,Bo Rai,TH,2022-04-28 00:06:19,12.5728,102.5371,86.77,85,50,1.45
252,Kutum,SD,2022-04-28 00:06:19,14.2,24.6667,77.99,13,11,5.14
253,Ribeira Grande,PT,2022-04-28 00:01:56,38.5167,-28.7,64.2,94,95,30.69
254,Ponta Do Sol,PT,2022-04-28 00:06:20,32.6667,-17.1,63.23,77,14,4.45
255,Port Blair,IN,2022-04-28 00:06:20,11.6667,92.75,83.17,80,88,2.51
256,Stettler,CA,2022-04-28 00:06:21,52.3168,-112.7186,44.91,67,81,9.46
257,Micheweni,TZ,2022-04-28 00:06:21,-4.9667,39.8333,79.16,84,87,8.48
258,Kendari,ID,2022-04-28 00:06:21,-3.945,122.4989,75.54,92,99,2.3
259,Pitimbu,BR,2022-04-28 00:06:22,-7.4706,-34.8086,79.83,78,100,9.44
260,Haselunne,DE,2022-04-28 00:06:22,52.6667,7.4833,42.04,93,15,1.14
261,Sistranda,NO,2022-04-28 00:06:22,63.7256,8.834,39.16,76,100,29.82
262,Nanortalik,GL,2022-04-28 00:04:42,60.1432,-45.2371,39.09,90,100,8.81
263,Kuala Terengganu,MY,2022-04-28 00:06:23,5.3302,103.1408,78.93,86,38,4.03
264,Namibe,AO,2022-04-28 00:06:23,-15.1961,12.1522,72.28,76,1,1.68
265,Tawang,IN,2022-04-28 00:06:23,27.5833,91.8667,46.17,81,96,3.65
266,Conde,BR,2022-04-28 00:06:24,-7.2597,-34.9075,76.71,82,100,7.45
267,Mana,GF,2022-04-28 00:06:24,5.6592,-53.7767,78.48,90,82,7.65
268,Alamos,MX,2022-04-28 00:06:24,27.0167,-108.9333,90.0,12,0,8.05
269,Balsas,BR,2022-04-28 00:06:25,-7.5325,-46.0356,75.74,71,100,2.48
270,Juneau,US,2022-04-28 00:06:25,58.3019,-134.4197,45.21,96,100,2.08
271,Manono,CD,2022-04-28 00:06:25,-7.3,27.4167,68.5,95,95,3.65
272,Khorramshahr,IR,2022-04-28 00:06:26,30.4397,48.1664,75.16,57,59,0.0
273,Tourlaville,FR,2022-04-28 00:06:26,49.6383,-1.5664,47.62,81,75,13.8
274,Gizo,SB,2022-04-28 00:06:26,-8.103,156.8419,84.42,71,86,6.42
275,Olmos,PE,2022-04-28 00:06:26,-5.9847,-79.7453,76.71,65,79,5.5
276,Byron Bay,AU,2022-04-28 00:06:23,-28.65,153.6167,71.94,80,34,9.13
277,Bumba,CD,2022-04-28 00:06:27,2.1833,22.4667,70.77,85,92,2.77
278,East London,ZA,2022-04-28 00:05:46,-33.0153,27.9116,59.52,79,0,8.55
279,Luderitz,NA,2022-04-28 00:06:27,-26.6481,15.1594,63.93,57,0,6.55
280,Bara,NG,2022-04-28 00:06:28,10.3744,10.7288,77.85,75,84,18.28
281,Kijabe,KE,2022-04-28 00:06:28,-0.933,36.5758,58.41,95,100,3.18
282,Abu Samrah,SY,2022-04-28 00:06:28,35.3029,37.1841,67.01,40,64,3.38
283,Mirzapur,IN,2022-04-28 00:06:29,25.15,82.5833,85.77,15,0,4.97
284,Tsiroanomandidy,MG,2022-04-28 00:06:29,-18.7667,46.0333,62.4,97,43,2.26
285,Ornskoldsvik,SE,2022-04-28 00:06:29,63.2909,18.7153,27.55,74,20,2.3
286,Malanje,AO,2022-04-28 00:06:30,-9.5402,16.341,63.16,96,89,1.63
287,Clyde River,CA,2022-04-28 00:06:30,70.4692,-68.5914,1.63,71,0,13.8
288,Kavaratti,IN,2022-04-28 00:06:30,10.5669,72.642,84.18,76,43,4.61
289,Chumikan,RU,2022-04-28 00:06:02,54.7183,135.315,36.18,65,100,12.26
290,Tevaitoa,PF,2022-04-28 00:06:31,-16.7833,-151.5,80.6,77,24,20.51
291,Yulara,AU,2022-04-28 00:06:31,-25.2406,130.9889,78.53,34,99,9.31
292,Souillac,MU,2022-04-28 00:06:31,-20.5167,57.5167,73.53,81,6,3.85
